Caller,Callee,ReturnType,Package,IsInternal,ArgCount,Line
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,109
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,110
org.springframework.samples.petclinic.owner.PetController#processCreationForm,java.time.LocalDate#now,java.time.LocalDate,org.springframework.samples.petclinic.owner,false,0,112
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,113
org.springframework.samples.petclinic.owner.PetController#processCreationForm,java.time.LocalDate#isAfter,boolean,org.springframework.samples.petclinic.owner,false,1,113
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,113
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,2,114
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.validation.BindingResult#hasErrors,boolean,org.springframework.samples.petclinic.owner,false,0,117
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.samples.petclinic.owner.Owner#addPet,void,org.springframework.samples.petclinic.owner,true,1,121
org.springframework.samples.petclinic.owner.PetController#processCreationForm,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,1,122
org.springframework.samples.petclinic.owner.PetController#processCreationForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,123
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,136
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.util.StringUtils#hasText,boolean,org.springframework.samples.petclinic.owner,false,1,139
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,2,140
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,java.util.Objects#equals,boolean,org.springframework.samples.petclinic.owner,false,2,141
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,141
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,141
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,142
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,java.time.LocalDate#now,java.time.LocalDate,org.springframework.samples.petclinic.owner,false,0,146
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,147
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,java.time.LocalDate#isAfter,boolean,org.springframework.samples.petclinic.owner,false,1,147
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,147
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,2,148
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.validation.BindingResult#hasErrors,boolean,org.springframework.samples.petclinic.owner,false,0,151
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.samples.petclinic.owner.PetController#updatePetDetails,void,org.springframework.samples.petclinic.owner,true,2,155
org.springframework.samples.petclinic.owner.PetController#processUpdateForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,156
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,166
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.util.Assert#state,void,org.springframework.samples.petclinic.owner,false,2,167
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,1,168
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.model.NamedEntity#setName,void,org.springframework.samples.petclinic.owner,true,1,171
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,171
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Pet#setBirthDate,void,org.springframework.samples.petclinic.owner,true,1,172
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,172
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Pet#setType,void,org.springframework.samples.petclinic.owner,true,1,173
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Pet#getType,org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.owner,true,0,173
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,org.springframework.samples.petclinic.owner.Owner#addPet,void,org.springframework.samples.petclinic.owner,true,1,176
org.springframework.samples.petclinic.owner.PetController#updatePetDetails,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,1,178
org.springframework.samples.petclinic.owner.PetTypeFormatter#print,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,47
org.springframework.samples.petclinic.owner.PetTypeFormatter#parse,org.springframework.samples.petclinic.owner.PetTypeRepository#findPetTypes,java.util.List,org.springframework.samples.petclinic.owner,true,0,53
org.springframework.samples.petclinic.owner.PetTypeFormatter#parse,java.util.Objects#equals,boolean,org.springframework.samples.petclinic.owner,false,2,55
org.springframework.samples.petclinic.owner.PetTypeFormatter#parse,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,55
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,39
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.util.StringUtils#hasText,void,org.springframework.samples.petclinic.owner,false,1,41
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.validation.Errors#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,42
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,46
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.samples.petclinic.owner.Pet#getType,org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.owner,true,0,46
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.validation.Errors#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,47
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.samples.petclinic.owner.Pet#getBirthDate,java.time.LocalDate,org.springframework.samples.petclinic.owner,true,0,51
org.springframework.samples.petclinic.owner.PetValidator#validate,org.springframework.validation.Errors#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,52
org.springframework.samples.petclinic.owner.PetValidator#supports,java.lang.Class#isAssignableFrom,boolean,org.springframework.samples.petclinic.owner,false,1,61
org.springframework.samples.petclinic.owner.VisitController#setAllowedFields,org.springframework.web.bind.WebDataBinder#setDisallowedFields,void,org.springframework.samples.petclinic.owner,false,1,52
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,org.springframework.samples.petclinic.owner.OwnerRepository#findById,java.util.Optional,org.springframework.samples.petclinic.owner,true,1,65
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,java.util.Optional#orElseThrow,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,1,66
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,1,69
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,java.util.Map#put,java.lang.Object,org.springframework.samples.petclinic.owner,false,2,74
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,java.util.Map#put,java.lang.Object,org.springframework.samples.petclinic.owner,false,2,75
org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,org.springframework.samples.petclinic.owner.Pet#addVisit,void,org.springframework.samples.petclinic.owner,true,1,78
org.springframework.samples.petclinic.owner.VisitController#processNewVisitForm,org.springframework.validation.BindingResult#hasErrors,boolean,org.springframework.samples.petclinic.owner,false,0,94
org.springframework.samples.petclinic.owner.VisitController#processNewVisitForm,org.springframework.samples.petclinic.owner.Owner#addVisit,void,org.springframework.samples.petclinic.owner,true,2,98
org.springframework.samples.petclinic.owner.VisitController#processNewVisitForm,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,1,99
org.springframework.samples.petclinic.owner.VisitController#processNewVisitForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,100
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.model.BaseEntity#setId,void,org.springframework.samples.petclinic.owner,true,1,73
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.model.Person#setFirstName,void,org.springframework.samples.petclinic.owner,true,1,74
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.model.Person#setLastName,void,org.springframework.samples.petclinic.owner,true,1,75
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.owner.Owner#setAddress,void,org.springframework.samples.petclinic.owner,true,1,76
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.owner.Owner#setCity,void,org.springframework.samples.petclinic.owner,true,1,77
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.owner.Owner#setTelephone,void,org.springframework.samples.petclinic.owner,true,1,78
org.springframework.samples.petclinic.owner.OwnerControllerTests#george,org.springframework.samples.petclinic.model.NamedEntity#setName,void,org.springframework.samples.petclinic.owner,true,1,81
